Activity ID,Activity Name,Location,Price Level,Num Reviews,Hours of Operations,Address,Tags,Min Age,Max Age,Min Group Size,Max Group Size,Event Duration
11,the glass jug beer lab - downtown durham,"{'lat': 36.00130620000001, 'lng': -78.9016322}",1,86,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}]","545 Foster St Suite 10, Durham, NC 27701, USA","['Social', 'Meetup', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,100,1,50,2
12,boxcar bar + arcade,"{'lat': 36.003381, 'lng': -78.9016694}",1,1924,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1200'}}]","621 Foster St, Durham, NC 27701, USA","['Entertainment', 'Game', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,100,1,50,2
13,west end billiards,"{'lat': 35.99780889999999, 'lng': -78.9059832}",2,471,"[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1700'}}]","601 W Main St Suite A, Durham, NC 27701, USA","['Entertainment', 'Game', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,100,1,50,3
14,state of golf,"{'lat': 35.993246, 'lng': -78.9044638}",2,48,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}]","318 Blackwell St, Durham, NC 27701, USA","['Entertainment', 'Game', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,100,1,50,3
15,angel island fun park,"{'lat': 35.9667892, 'lng': -78.9624973}",1,970,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1000'}}]","3330 Westgate Dr, Durham, NC 27707, USA","['Entertainment', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",2,12,1,15,2
16,bowlero durham,"{'lat': 35.96402, 'lng': -78.974335}",2,1207,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1500'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1200'}}]","4508 Durham-Chapel Hill Blvd, Durham, NC 27707, USA","['Entertainment', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,99,1,8,2
17,urban axes - axe throwing,"{'lat': 36.0031294, 'lng': -78.90166289999999}",2,2461,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}]","619 Foster St, Durham, NC 27701, USA","['Entertainment', 'Game', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",18,100,2,70,1.5
18,nasher museum of art,"{'lat': 35.998994, 'lng': -78.929035}",1,845,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","2001 Campus Dr, Durham, NC 27705, USA","['Cultural', 'Workshop', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,20,2
19,american tobacco campus,"{'lat': 35.9933333, 'lng': -78.9041667}",1,6907,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0800'}}]","300 Blackwell St #104, Durham, NC 27701, USA","['Entertainment', 'Seasonal', 'Mixed', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,99,1,100,4
20,durham central park,"{'lat': 36.00058291799921, 'lng': -78.90179221539238}",1,1600,"[{'open': {'day': 0, 'time': '0000'}}]","501 Foster St, Durham, NC 27701","['Social', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,24
21,sarah p. duke gardens,"{'lat': 36.003793, 'lng': -78.9319269}",1,8261,,"2000 Lewis St, Durham, NC 27705, USA","['Relaxing', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,20,2
22,museum of durham history,"{'lat': 35.9982755, 'lng': -78.9049802}",1,129,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","500 W Main St, Durham, NC 27701, USA","['Educational', 'Meetup', 'Indoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,20,1.5
23,the can opener bridge,"{'lat': 35.999084, 'lng': -78.91013769999999}",1,129,"[{'open': {'day': 0, 'time': '0000'}}]","201 S Gregson St, Durham, NC 27701, USA","['Entertainment', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,0.5
24,duke lemur center,"{'lat': 35.9941353, 'lng': -78.96040289999999}",2,138,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '1000'}}]","3705 Erwin Rd, Durham, NC 27705, USA","['Educational', 'Meetup', 'Mixed', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,25,2
25,falls lake state recreation area,"{'lat': 36.02295799999999, 'lng': -78.6994326}",1,4259,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}]","13304 Creedmoor Rd, Wake Forest, NC 27587, USA","['Adventure', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,5
26,bennett place,"{'lat': 36.0292635, 'lng': -78.9750957}",1,467,"[{'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","4409 Bennett Memorial Rd, Durham, NC 27705, USA","['Cultural', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,20,2
27,museum of life and science,"{'lat': 36.0293716, 'lng': -78.89944609999999}",2,1765,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","433 W Murray Ave, Durham, NC 27704, USA","['Educational', 'Seasonal', 'Mixed', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",1,100,1,20,3
28,american dance festival - adf,"{'lat': 36.0092527, 'lng': -78.9199007}",3,10,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}]","715 Broad St, Durham, NC 27705, USA","['Cultural', 'Festival', 'Mixed', 'Adults-Only', 'Low', 'Budget-Friendly', 'Summer']",0,100,1,10,1.5
29,the carolina theatre,"{'lat': 35.997811, 'lng': -78.9027327}",2,2674,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1000'}}]","309 W Morgan St, Durham, NC 27701, USA","['Cultural', 'Concert', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,10,2
30,occoneechee mountain state natural area,"{'lat': 36.0606205, 'lng': -79.11710839999999}",1,946,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0800'}}]","625 Virginia Cates Rd, Hillsborough, NC 27278, USA","['Adventure', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Medium', 'Free', 'Year-Round']",0,100,1,20,2
31,old cheek road bridge,"{'lat': 36.04825160000001, 'lng': -78.7484711}",1,14,,"5111 Old Weaver Trail, Creedmoor, NC 27522, USA","['Adventure', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,10,1
32,mountains to sea trail segment 10 parking,"{'lat': 36.0843747, 'lng': -78.824441}",1,14,,"Durham, NC 27704, USA","['Adventure', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,6
33,raleigh-durham international airport observation park,"{'lat': 35.88350479999999, 'lng': -78.7842237}",1,1121,,"W International Dr, Morrisville, NC 27560, USA","['Entertainment', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,1
34,west point on the eno park,"{'lat': 36.0693421, 'lng': -78.9090388}",1,1190,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}]","5101 N Roxboro St, Durham, NC 27704, USA","['Relaxing', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,6
35,bull city food and beer experience,"Durham, NC",2,0,,"Durham, NC","['Entertainment', 'Festival', 'Mixed', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,100,1,100,4
36,third friday art walk,"Durham, NC",1,10,,"Downtown Durham, NC (Various Locations)","['Cultural', 'Festival', 'Mixed', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,100,3
37,holi celebration,"Durham, NC",1,5,,"Durham, NC, USA","['Cultural', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,3
38,durham bulls opening day,"Durham, NC",1,500,,"409 Blackwell St, Durham, NC 27701","['Entertainment', 'Game', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,20,3
39,full frame documentary film festival,"Durham, NC",2,0,,"Multiple Venues, Durham, NC (Venues vary each year)","['Cultural', 'Festival', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",18,100,1,15,48
40,biscuits & banjos festival,"Durham, NC",1,0,,"Durham, NC","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,15,6
41,bull city beer mile,"Durham, NC",1,0,,"Durham, NC","['Entertainment', 'Game', 'Outdoor', 'Adults-Only', 'High', 'Budget-Friendly', 'Year-Round']",21,100,1,15,2
42,durham earth day festival,"Durham, NC",1,0,,"Durham Central Park, 501 Foster St, Durham, NC 27701","['Educational', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,4
43,beats n bars block party,"Durham, NC",1,0,,"Durham, NC","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Summer']",0,100,1,100,6
44,bimbé cultural arts festival,"Durham, NC",1,5,,"300 West Main Street, Durham, NC 27701","['Cultural', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,6
45,acc baseball championship,"Durham, NC",2,100,,"Durham Bulls Athletic Park, 409 Blackwell St, Durham, NC 27701","['Entertainment', 'Game', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,100,3
46,freaknik spring fling,"Durham, NC",2,0,,"Durham, NC","['Entertainment', 'Festival', 'Outdoor', 'Adults-Only', 'Medium', 'Budget-Friendly', 'Spring']",21,100,1,20,12
48,skyhigh reunion: spring fling,"Durham, NC",2,0,,"Durham, NC","['Social', 'Meetup', 'Outdoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",21,100,1,100,4
49,spring fling,"Durham, NC",1,0,,"Varies, check specific Spring Fling event in Durham, NC","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,6
50,southern seasonal: spring has sprung!,"Durham, NC",2,12,,"Durham Central Park, 501 Foster St, Durham, NC 27701","['Entertainment', 'Seasonal', 'Mixed', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,100,3
51,ncsu nsbe spring gala 25',"Durham, NC",2,0,,"Durham, NC","['Social', 'Meetup', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",18,100,1,100,4
52,easter spring candle-making workshop at gizmo brew works,"Durham, NC",2,0,,"308 S Roxboro St, Durham, NC 27701","['Entertainment', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",21,100,1,100,2
53,sip into spring wine tasting,"Durham, NC",2,22,,"Durham, NC","['Entertainment', 'Seasonal', 'Mixed', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",21,100,1,100,2
54,diy wooden bead -spring wreaths!,"Durham, NC",1,0,,"Durham, NC","['Relaxing', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Spring']",18,100,1,12,2
55,keep durham beautiful events,"Durham, NC",1,0,,"721 Foster St, Durham, NC 27701","['Social', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,30,2
